,UserName,Contents,Label
1018,3rd_****,"조국 뿐이냐? 유시민 심상정을 비롯해서 여야를 막론하고, 전교조, 민노총 등 젊어서 부터 정치를 직업으로 살아온 386세대의 대부분의 이중적인 모습이다. 불의에 항거했던 젊은 날은 기성세대들의 잘못이라고 치부하더라도 그들이 기성세대, 기득권을 차지하고 있는 지금의 모습도 그때와 조금도 다르지 않다. 전두환이나 문재인이나 박철언이나 조국이나 서로 욕하지만 똑 같은 부류다.",1
2017,럭키,조국    이걸레는    인간세상을   무법천지로    착각   인간말종이다ㆍ이런   놈이   민정수석을    있으며얼마나    문재인의   나라  말아   쳐묵는  일을도왔겠는가ㆍ무조건   현   정권의    도둑질을  국정감사해야    한다ㆍ,0
3069,osor****,그 용기에 박수를 보냅니다 구구절절 옳으신말씀~~임검사님 정말 훌륭하십니다~!!다른분들도 꼭 목소리 내어주시길 간청드립니다~^^,1
2993,soot****,난 법을 어긴 적이 없다. 다만 국민들에게 실망을 준점에 대해서는 죄송하다고 생각한다. 이게 말이야 방구야... 준적도 없는 상이 .. ㅋㅋㅋ 이래도  잘못한게 없냐?,1
2153,snoo****,진짜 역겹고 토나온다ㅋㅋ국민들에게는 영웅인척 정의로운척 해놓고 뒤로는 별짓거리 다하면서 지만 아닌척 내로남불 끝판왕 지금보다 더 많은 잘못을 했겠지 다 까발려져서 꼭 모든 국민들이 실체를 알기를,1
736,곰제떡,피로감 장난아님그냥 빨리 임명했음 좋겠네조극에 대한 기사가 새월호때보다훨 많다며  언론 이건 너무한거 아님,0
2899,msb2****,"윤총장이 이번사건 제대로 파헤치면, 현정권은 급속한 레임덕으로 동력상실되어 내년총선은 물론 대선에서 정권빼앗긴다.",1
1218,클랑,정말 국민들의 기대에 의긋나지 않는 수사결과가 나오는지 지켜보자.''사람에게 충성하지않는다''는  윤총장의 그말을 진정으로 믿고 싶다.현재 권력에 굴하지 않는 검찰을 보고싶다.,0
2351,개눔,"Pd수첩 봤지나가서연금타먹어라영업띠던지개검,자한당 내통",0
228,vict****,위선자라는게 이런거였구나..조국에게 실망스럽다,1
1477,wodu****,업무방해 구속해야죠 이대학장 암걸린 상태에서 실형 2년인가 받고 교도소 갔습니다.,1
760,오리,장제원 쓰레기는 가족관리 잘해서 아들이 그 모냥이냐,0
389,스타,"사법개혁,검찰개혁 다 좋다!근데 공수처는 전혀 이들과는 무관한 공위공직자만을 위한 법이다!사법개혁안이라고 조국이 주장하던공수처는 악법이다!사법검찰개혁과 고위공직자를 위한 공수처는 전혀 별개의 문제다!공수처가 있었으면 박근혜가 교도소에 갔겠나?검찰이 비대하면 검찰을 개혁해야지전혀 검찰개혁과 관계도 없는 고위공직자 면죄부 공수처를 왜 연관짓나?진정한 사법개혁을 해라!악법 공수처를  사법개혁인것처럼  둔갑시킨문재인대통령과 적폐 조국 면죄부 공수처 결사 반대!",0
618,사람이먼저사람사는세상,일반전형으로 합격한거 맞어.시험쳐서 들어갔어.니들이 특례입학이고 특혜라고 선동질한거고.그런데 일반전형 입학 시실이 밝혀지니까일반전형 입학정황?왜 일반전형으로 입학한것도 특례냐?,0
712,yhn2****,특검가자에 엄지.필요없다에 아래손가락투표 한번 합시다.,1
1923,두메산골,"인간말종 위선자, 가증스러운인간, 이런 인간을 청와대에두고 국정을 운영하고 법무부장관으로 추천한 인간은 더 한심스럽다",0
3052,레오다빈치,문재인은 윤석열을 파면하라.,0
2615,smak****,맹목적 지지자들 역겹네,1
2002,sbja****,조국 교수님 감사합니다. 덕분에 자칭 진보들의 내로남불 역겨운 이중성이 만천하에 드러나는군요...자한당 국회의원 100명이 못한 일을 혼자서 해내셨습니다. 감사합니다.,1
1653,아침햇살,본인가족 불법 덮으려고 남한테시선돌렸냐? 장모 마누라 수사받아야지~~,0
2634,ink,"사회민주주주의로 헌법을 개정하고 그 헌법을 따르면 된다는 말씀이 될 수도 있다는 생각이 듭니다. 실제로 이전 헌번 개정한에서는 대한민국은 자유민주주의 국가이다에서 ""자유""를 삭제하려고 했으니까요...토지 공개념도 사실 자본주의에서는 받아들여지지 않습니다. 함께 잘살자는 것은 동의하지만 저는 사회민주주의는 반대입니다.",0
1784,may0215,한겨레 정신 못차리니? 태극기부대 기껏 300여명이었고 무대 옆에서 바로 알박기 집회 시도했으나 촛불시민에 포위되어 존재감도 없었다. 이 기레기세퀴들!!! 반대편이 태극기부대? ♩♪♪~♬♩~~,0
2864,glory,지가하면 로맨스남이하면 불륜내로남불민주당 정신차려라이러다 쪽박찬다,0
332,적폐좀비박멸,"여의도 현장, 날씨가 추운데도 깨시민들 엄청 모였네! 정치가 본업이고 검사가 부업인 정치검새 ,스폰서검사,성추행검사,딸딸이검사, 막말검사, 돈봉투검사..등등등 우~! 내 입만 더러워지군",0
321,movieboy,대한민국 국민 촛불시민 vs 토착왜구 일당쟁이,0
1894,jhu61,조국 자격 없다 사퇴하라,0
2823,nhk9****,윤석열 검찰총장님 지켜보게 되네요. 양심적인 수사 부탁드립니다.,1
2928,윤정현,"정의당 이름부터 바꿔라...우리는 ""사꾸라 정의당""이라 문패부터 바꿔라...무슨 정의냐??? 기회주의자들의 불법 단체지...",0
211,무초,수재인  조국이  기억안나? 떳떳하게  나서라  동생  조카  마누라  엄마  그만고생 시켜라 스스로  비열함을  못느끼냐,0
2718,서승현,"민주당에도 아직 양심의 소리가 있긴 있구나. 민주당은 인터넷 댓글, 실검에 패거리로 몰려 다니며 마치 국민여론인 양, 국민열망인 듯 세뇌하고 다니는 조국 지지자층들에 매몰되어, 젊은 세대와 중도파가 이미 이탈되고 있음을 자각하지 못한다면 그 미래는 어두울 수 밖에 없다. 어차피 태극기 부대를 포함한 고정 우파가 있고,  우파 견제를 위해 목숨 거는 고정 좌파가 있다. 젊은세대와 중도파가 무슨 생각을 하고 있을까? 조국과 조국 가족 옹호에 힘쓰는 모습에 세뇌될 것이라면 큰 오산이다. 맹목적이고 폭력적인 인터넷의 그들에게 환멸을 느낀다",0
1245,안양포니,정치노조 전교조이럴땐한줄도 논평안내고 아닥중이라우...전교조 ㅤㅆㅓㄲ었어...,0
1339,ktj4****,대단한 형제들이다 조국 조권 이놈의 형제들은 어찌 이리 닮은 꼴일까? 범죄자 조국이 수호하자며 ㅤㅊㅗㅊ불들던 인간들아 인생을그렇게 살면 안된다 스스로 또는 자식들보기에 부끄럽지 않나 자식들에게도 불법과 불의 거짓을 편들며 인생을 살아가라고가르칠 것인가? 인간의 양심으로 돌아가기를 바란다 어떻게 불법을 수호하자며 ㅤㅊㅗㅊ불까지 든단 말인가? 오호통재라!,1
1365,yjs2****,영장 기각한  명재권 판사는 자격미달이니 사퇴하시오,1
1898,파리의 우울,매주 토요일  6시 서초동 촛불집회는 계속된다.♥조국수호 검찰개혁♥공수처 설치♥윤석열 사퇴조국가족이 일상으로 복귀하는 그 날 까지,0
1989,chon****,잠깐 10분봤다....지들끼리 노가리까고 대깨문들 집합소ㅡㅡ,1
1428,migg****,왜 조민 부산대 입학취소 청원글이 비공개로 전환됐나요? 국민의 소리를 들으려 하지도 않고 무시만하는 청와대네요 당장 입학취소해야됩니다 진심 화납니다,1
1217,소나무,공정하고 신속하고 철저하게수사하세요 국민에게  지울수 없는 배신감과 큰  상처를 주었습니다,0
682,ryuu****,조국이 아니면   우리가   망하는구나인물이  그렇게 없나?한심하다   그런 사람들이   왜   높은 곳에서 국민을  바라봐야하나,1
368,그대안에서,검찰개혁언론개혁계엄령특검!!!,0
1298,스마일vV,조국은양심있으면  사퇴하라 ! ! 그자리가그렇게  탐나나본데  이미 부정부폐로   낙인된자를  더이상용서는없다 !  너자신이 적폐요  너자신이 그대상이다 !,0
2525,0165****,재정신이 아니고서야 조국을 법무부장관을 지지하는 개돼지들은 그냥 짐승으로 살아라 차라리 그게 속편하다 그래야 정상적인 사람이 개돼지들욕하며 손까락질할수있지  정신나가 지인이 조국 지지하는 소릴하길래 그냥 인연끈었다 개돼지완 친구도 인연도 되고싶지않다 다시는 연락도 하지말라고했다 그게 사람의 도리다,1
2914,박경철,정의당아 니들 당원만으로 비례가 많은게 아니야.. 민주당 지지자 들이 비례찍어주니까 많은거지.. 착각하지마라,0
1909,moni****,야당대표가 만나서 소통을 하자고해도 안만나는 고집쟁이가 문재인 입맛에 맞는 달창들 모아놓고 쑈하는 모습이 유치찬란하게 보인다 .,1
2563,gusg****,옳고 그름을 분별할 줄 아는 20대 멋있고 응원합니다. 3~40대처럼 586운동권의 노예가 아니라서 더 멋지고요,1
1067,aisp****,내년 총선에서 문재인과 민주당 그리고 2중대 정의당까지 아주 곡소리 나게 해주마,1
2481,sypark,"내가 지난 번 댓글에 말했잖니?5촌 조카와 기타 사람들이 해외도피한 것은뭔가 부정한 짓을 저질렀다는 것이라고 조국과 조국 부인과 관련없이 그리고,의혹제기한데로 우회상장이나 관급공사 실적 밀어주기 등으로,고수익 추구를 도모했다면,주식에 있던 10억만 투자했겠니?보험,은행에 있던 돈 전부하고, 대출 등 받아서엄청투자했겠지 일반 상식에 근거해서 판단해도 추측할 수 있는 것을, 그렇게 왜곡, 매도질을 해대고 있으니 대통령후보도 아닌데,70만건이 넘는 왜곡, 매도 몰이 기사들을왜 그러는지 설명해 봐라!",0
839,seat****,국민들을 우섭게 여기고 나라를 개판으로 만들고 있는 정부.여당은 우리나라를 위해서라도 이쯤에서 끝내야 한다. 더 말아먹기 전에.....,1
768,영졸무교,주옥같은넘들..니들이 얼마나 당당하기에??색안경낀 니들 눈깔이나 뽑아라..난 외눈박이요 하고 살아가라고..반대측의 주장..증인 증언 증거 다 안보았지??기레기..아니지왜기레기의 팩트체크도 안한 일방적 루머만 믿고..어지간히 해라 주옥같운 넘들아..니들땜에 왜넘에게 돈받아 쳐먹는찌라시와 왜기레기가 더 설친다..,0
2402,오스틴1905,순진한 법학 학자 조국  이런 사람을 왜 무서워할까? 사법개혁 공수처 누가 제일 싫어할까?,0
1604,outj****,빨갱적폐정권 타파! 차라리 친일파를 뽑자. 대한민국 주적은 공산당임.,1
281,eagle,겉과속이 판이하게 다른  아주 질이 나쁜조국가족 일당,0
2635,수수꽃다리,끔찍한 조국민주주의 대한민국에 사회주의자가 법무부장관?이런.....진짜 이게 그들이 말하는 그 나라?소가 웃을 일 맞네!!!,0
495,danong,공소장에 정확하게   기재된 사실을  소설쓴다고 우기는  사람들보면  한심하다   판사가 휴대폰 추적 계좌추척을 기각하지 않았더라면  일찍 끝날 사건인데  정권의 눈치보지말고 공정하게 판결하기 바란다,0
602,skssldrn,고대수시 1학기는 원래 시험이 없다는데도계속헛소리 하네논문으로 합격하는 전형은 아예 없어제출 자체를 안했다는데도,0
205,wbsd****,"이 나라 정의와 윤리와 공정, 평등이 완전히 무너졌다. 문재인 정권 이전만 해도 위의 가족 중 한명만이라도 해당 사항이 있으면 다들 장관 후보직에서 물러나거나 또는 청와대에서 후보직 사퇴를 시켰는데, 이건 어찌된건지 거짓말쟁이에 사기꾼 놈이 물러날 줄도 모르고 버티고 문재인도 또 그걸 임영 강행해 범법자 놈이 검찰개혁을 한댜니 참으로 개탄할 노릇이다.앞으로 무엇을 자식들이나 후손들에게 가르친다 말인가? 문재인 좌파 빨개이와 조국 쓰레기, 더민주와 대깨문 놈들이 나라를 썩어 문드러지게 하고 있다.문재인을 탄핵하고 좌파들을 처단하자.",1
2705,dawnand,바로 보고 바로 말할 수 있는 용기.지금처럼 꼿꼿한 마음 잃지마시길!,0
3069,깁업,조국죄가 뭔지  도대체두달동안들어도 죄명을 모르겠다    수사를해라제발  사냥을  하지말고,0
282,ziab****,사립학교의 부패비리 전형을 저질렀네. 상식적인 사고로는 사립학교의 자산은 담보나 담보제공이 될 수 없다. 학생들의 학교이기 때문에 관할 교육청에서 관리감독권한을 행사한다. 학교가 재단의 개인재산이라 보지 않는 이유도 거기 있다. 담보제공이 된 것도 웃기는 일이다. 이건 모종의 수작을 벌이지 않고서는 불가능한 일이다. 사립이라도 제 맘대로 공사업자 불러서 공사는 못하며 교육청 허가를 받아야 한다. 이런 식이면 사립재단이 학교를 제맘대로 돈 다 빼내고 공중에 휙 날려버리는 일이 비일비재하다고 봐야 한다,1
1264,hooy****,떡검들의 발악,1
2155,mhchung1,그럼 그전에 수ㅤㅁㅣㄶ은 장관들은 뭔죄가 그리많아서 당신들이 비난하고 매도하고 인간이하의 대접들을 해잔아그러면 그전에 일에대해서도  사과해야죠,0
2252,태화강 2000,정말 역겨운 가족이다.모든걸 몰랐다는 조국이란자의 양심은어떻게 생겼을까?,0
2651,arma****,일반국민으로써 조국 힘내라는 사람들은 정말 이해 안됨.불공정하게 돈있고 힘있는 사람이 공정하지않게 스펙달고 장학금 받은것도 다 힘내라고더하라고 하는건지.쟤들은 좌파겠지?아님 힘있고 권력있는 넘들인지,1
1781,alma****,드루킹때부터 알아봤다  조작질좀 그만해라 지겹고 지친다,1
840,lwy2****,서울대뿐만이 아니라 전국민들이 일어나야 할것이다사회주의로 바꿀려는 독재자 막아야된다!,1
2700,anim****,"모든건 부메랑이 되어 이 정권에 되돌아 오고 있다. 법을 어겼냐 아니냐를 따지는게 아니다. 자신은 하늘을 우러러 부끄럼 한점 없다면서 타인을 손가락질 해오던 ""조국"" 이라는 인물이... 알고 봤더니, 귀족 자녀들이 할수 있었던 편법이란 편법은 죄다 이용해 왔었다는 것에 국민들이 분노를 느끼는 거다. 재단 비리에, 가족 구성원은 얼마 안된다던 펀드는 뜯어봤더니 죄다 가족들 동원해서 쳐넣어놨고.. 그렇게 가짜뉴스라더니, 결국 다 인정하고 사과했잖아? 송구스럽지 않은거였나? 출근때 그렇게 말 안했었나...?",1
1132,정유석,윤석열 당신 얼마나 공정한지 두고보겠어. 사람에 충성하지 않는다고 했으니.....,0
813,cjun****,조선일보구나,1
1347,유유,조국의 입에서 나온말은 어디까지 진실일까? 명색이 서울대 법대로스쿨교 수라는 사람이 학생들을 그동안 조로남불식 강의햇나~~~,0
2794,hjin0013,"에고.더럽당의한계.젊은의원의쓴소리도,적폐시키는,니들읜보수야당이랑뭐다르나?댓글로금태섭욕하는?쪼다.등~~씬.미친X들.니들가족중있을거다.학비땜휴학하고,군입대하거나,알바해서.다음학기등록하는학생들수두룩이다.조국네가족들은,학벌,재산.빈대,흡혈한거다",0
2307,인간문화재2,윤석열 조국은 안된다!~~검찰조직  힘빼고 검찰의 칼을 없애려 할 인사다저항으로 문재인 대통령이 조국 임명 못하게 할 명분을 찾아서 낙마시켜야 한다!~~그러나!~~대통령이 조국 임명을 거행하자!~~검찰의 의견을 무시해?~~그러면 물러설수 없지?~~조국을검찰의 칼로 난도질 해주겠다!~~전방위 압박수사 가족인질여론에 정보흘려주기 초강수 마구잡이 압수수색~~ 자한당에 뒷구멍으로 수사 진행사항  수시 보고~~검찰놈들아!~~  그동안 네놈들이 한짓~~네놈들 눈에는 안보이지??~~,0
2018,구름비,우병우를 법꾸라지라고 욕하던 조국이.우병우는 그렇게 팠는데 나온건 없음.조국이는 조금 팠는데 스레기 잔득.,0
2915,nknh****,자한당과 좃중동의 발악이구만...조국 법무부장관 꼭 가자~~~,1
1035,kose****,조국의 문제를 단순한 대입부정으로 몰아가면 안됩니다. 사모펀드의 배후와 진짜 주인부터 밝히는게  수사목적이 돼야합니다. 뒷구멍에서 몇십년동안 온갓 추잡한 짓이란짓은 다한넘을 그토록 뒤를 봐주는 이유는 뭘까요? 조국 저넘때문에 지지율도 떨어지고 중도층 이탈이 심할걸 알면서도 중용한 이유는 도대체 뭘까요? 이쯤에서 강한 의구심이 듭니다. 도대체 조국한테 얼마나 많은 빛을 졌길레 이리 보호해주나요? 도대체 사모펀드의 주인은 누구입니까????,1
254,신밧드,조국이가 서울대 교수 복직하겠다고?정말로 개 쉬이발 시에뀌 로구나.,0
2882,wooh****,윤석열총장님 지금이야말로 사람에 충성안한다는말 을 온 국민께 보여줄수있는 좋은기회입니다 이번에 잘 보여주면 국민은 당신을버리지않고 밝은미래가 있을것입니다,1
1915,rago****,문빠들 대깨문과 함께 토론회다 이런 거짓 문구라나 엠비씨  방송사나  ㆍㆍ쇼쇼쇼 다  ㅠㅠ 이게 대한민국 현실임,1
2171,성령과말씀,캬악..퉤. 모조리 최순실  옆방으로 보내버려라.,0
2909,YOO WAN  HYUN,심.  심청이는  자신의 몸을  던져  상.  상상할  수  없을 만큼의 효심을  보여 주었는데정.  정녕  당신은  국가를  위해   무엇을  할 수  있나요?그냥  눈치보고  표나  얻을   생각이면   이쯤에서그만  하세요.,0
765,prad****,이부부들은 연놈이 쌍으로 왜 데스크탑을 쳐들고다녀 정심병자냐,1
2365,띵우,대한민국은  좌파 우파 싸움 때문에더이상 미래가없다  이민가고싶다대한민국은  사회주의로 변하고 있다민주주의가 우월한데도 좌파들은사회주의를   원하고 있다,0
882,boxe****,태극기 노친네들 포함 한 50명 모여놓고 대단한 국민적반감이 있는듯하게 기사쓴 좃선일보 기자색끼야 친일신문에서 밥벌어쳐먹는거 가족보기 안쪽팔리냐?,1
1194,나용아빠,대통령이라면 아무리 훌륭한 인재라도 법을 어기고 많은사람한데 악영향을 줄수있다고 생각된다면 아깝지만 법을지켜 임명철회하고 조사를 받도록하겠다.삼국지후반에 촉의 제갈량이 인재가 별로없는 나라의상황속에서 사랑하는 부하 마속에게 임무를 맡겨으나 제갈량의 신임에 우쭐하여 부하의 간언하는 말을 무시하고 군령을 어겨 군량미를 빼앗기고 폐하는 일이 벌어졌다.작은일이고 인재도 없었던 상황에서 용서할수도 있었으나 군령을 생각한 제갈량은 사랑하는 마속의 목을 벤다.. 그것이 읍참마속이라는 고사성어다. 대통령은 제갈량의 심정이 어떨지 생각해 보시길.,0
2676,yycc****,조국 힘내세요란 말을 보고 실소를 금할 수 없다. 국민들의 판단기준이 그런 것이 아닐 것이라면 민주당원이나 그런 세력들의 조작질일텐데 현재 각 방송국의 방송이 얼마나 편파적이고 또한 여론 조작이 현재 권력에 의해서 자행되고 있는지를 알수있는 바로미터이다. 평등 공정 정의 삶은 소대가리가 앙천대소할 일이다. 좌빨 민주당의 위선이나 거짓 선동에 속아 넘어가서는 안된다.,1
2671,yhl6****,힘낼사람은 조국이 아닌 수사를 하는 검찰입니다청와대 눈치 안보고 명명백백하게 밝혀야 할듯요법적으로 나 문서로는 위법이 없다해도많은 의혹에대해서는 변명의 여지는 없습니다..,1
2580,ritz****,이념을 넘어서 조국은 안된다. 이건 당의 문제가 아니라 옳고그름의 문제다. 법적으론 문제 없다고 하는데 조사해보면 IRB 연구법에 걸리고 법적 문제 있는 논문을 자소서에 언급했기 때문에 부정입합이라 볼수 있다.,1
2757,litt****,친일당이 하면 합법. 조국이하면 무조건 불법 이라는거네?ㅋㅋㅋ,1
1659,kin2****,의혹만으로 외치다 조국임명으로 인사참사로 이어졌고 현시국으로 나라는 두쪽으로 나눠지고 범죄자도 덮어주는 얄팍한 내로남불도 괜찮단식 집회로 이어졌다 좌파정부는 집권하면 안된다는게 드러난택이다,1
17,멋진삶,위선자 조국을 파면하라,0
2221,떡방,쪽국 은 인생 자체가. 거짓된것이네.본인 석사논문도 일본것 베껴서 심의위에 회부되고딸도 부정입학 벌각되서 고졸로 되고아들놈. 이중국적자로 군대도 안가고마느라는 사문서 위조로 감옥에 가고본인 은 사모펀드 위반 하고...죄가 줄줄이 사탕 이다.,0
198,neri****,이낙연당신이라도 제정신인줄 알았는데어찌  그렀게   부푸려  이야기하는가당신도 똑같은  무리속의 한명이구나당신들은 숫자를 그렇게 조작을 잘하나다같은  6명인데,1
395,free****,욕이 저절루 나온다,1
97,깜찍이,정의로운 우리 학생들!격하게 응원합니다.,0
319,최현이,내란음모 계엄령 특검하라,0
1259,yjch****,사모펀드 조장관이 아는게 뭐 중요하나요? 박근혜는 최순실과 묵시적 경제공동체로 형받았는데요. 조부부는 일심동체인데요. 묵시적 청탁도 형받는 세상에 일심동체 범죄가 단죄 안받으면 그게 법이겠어요? 이걸 사필귀정이라고 하지요.,1
523,ghkd****,"젊은이들의 정의로운행동에 진심으로 박수를 보냅니다어차피 국가의미래는 젊은이들의 몫입니다, 힘들겠지만이겨내시기 바랍니다, 나같은 구세대는 젊은이들의 행로에아낌없이 지원할것입니다,",1
2069,YoungGun,"본인의 웅동학원재단 건물짓는데 동생 건설회사 동원하면서도, 대기업 친척 일감 몰아주기한다고 그렇게 비판하더니만...",0
2819,원조멎쟁이,더불어 빨갱이당이제대로미쳤구먼.이것들이 앞으로도 계속 지들이집권망상속에사네역사적으로 권불십년이야2년후 두고보자고,0
1569,z168****,잠안자고 지금까지 기다렸다. 꿀잠자겠다 ..자 이제 유시민 이낙연 이 OOO들 머라이야기하는지 보자,1
205,하마내꺼닷,계좌추적  압수수색  청구를  기각하지마라왜  못하게  하냐휴대폰  압수수섹  청구를  기각하지마라왜  못하게  하냐중요한 계좌추적  못하지  휴대폰 사용내역  추적못하지  이래갖고  제대로  조사가  되겠냐고,0
2195,ehsc****,난 보수인데 니들이 말하는  토착왜구니까   일본가서 치료 받을게 니들은 조국딸한테    치료받아라 ㅋㅋㅋㅋㅋ,1
2088,chlghlwjs,조국  후보  청문회지  조국  동생  사생활  청문회냐 ?   참  왜놈  밀정  기레기  새키  대가리를  확  ㅉㅉ  야  한겨레도  왜구  밀정이  있네    ㅋㅋ 놀래라 ! ㅍㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0
2941,문경숙,이건 또 뭔개소리야??장난하냐심아줌마?,0
1353,mudc****,조가 에미부터 자식까지 3대가 모두 사기꾼 모임이 맞다. 모두 끝까지 추적해 처벌해야 한다.,1
1551,tope****,송경호판사님께 준법혈세 주권국민들이 사법정의 증명을  감사드립니다!!!고형곤부장님 윤석열총장님께도 주권국민들이 감사드립니다!!!전직대통령들도 대법원장도 감옥소갔는데~법앞에 만인 평등해야 보통사람 국민들이 이나라에서 살아갈수 있습니다!!!,1
2822,알래스카,야당시절에는검찰을   권력의 시녀 라고  그동안 그렇게 놀려대더니. . .시녀 노릇 안하고  제대로  하려니까. .여당으로 입장이 바뀐 이정권이번엔 또. .  왜   알아서 기는시녀노릇 안한다고 정권의 홍위병들 동원해서여론몰이하고 자빠졌네~에라이~   썩어빠진  인간들아~!!!,0
704,너구리,조국이 두렵다그래서  이사회의 기득권들이  저 난리구나국민들이 응원하니조국은  당당히 맞서라~,0
248,지우,아  ~~   ~~~  이정도로    사악한    거짓말들을  배고픈  살기  어려운     국민들은   경악하고    분노하고   또   분노하고 있다~~~~~~~,0
588,wind****,대한민국의 희망이 보입니다!!!응원합니다.대한민국 청년들 화이팅하세요~~~~♡,1
1835,새로운 출발,우리나라는 대통령할  인간들이없어인구는 5천만이 넘는데 참으로 안타까운나라야문재앙을뽑았드니 재앙을맞이했으니다음주자황교안도  똑같을거같고 국무총리도 그렇고홍준표도그렇고안철수누구하나 제데로된놈들이 없네,0
2129,가리비,대통령일지라도 죄가 있으면 검찰이 잡는 나라그런 나라를 원합니다윤석열 총장님이 하셔야 합니다국민이 기대하고 원하는 일입니다,0
220,해닮,자한당에는 왜그리 관대하냐~같은족속이라그런거지 뭐~,0
212,yyyu****,조선일보같은  신문들이 없었으면어쩔뻔했어,1
708,tmdg****,진보들이 자꾸 조선일보.tv조선을 욕 하는데 독자로써 보는 시각은 여론  중 에서 가장  오보 없는 내용을 보내고 있다고 생각 합니다 국민의 알 권리를 조롱하고 왜곡하고 숨기려고 하는데 국민들도 눈 과 귀가  있습니다 자꾸 조선일보 탄압 하지 마세요  조선일보를 축복 합니다,1
1755,jgki****,최악의 무능정권. 사례를 좀 보자. 1. 최악의 부동산 세금폭탄을 때려 국민괴롭히면서도 뇌물현 시기에 버금가는 부동산 폭등[조만간 뇌물현 기록깬다]  2. 세계 최고의 원전기술 스스로 포기해서 최소 수십조의 국고 손실 3. 말도 안돼는 소주성으로 자영업자와 중소사업자를 고사 직전으로 몰아넣은 죄 4. 적폐 청산 한답시고 국민을 분열시켜 역대 최악의 국민 분열 5. 미국 중국 일본 북한 모두와 적대와 불신 초래해서 외교적 개망신을 당하고 있는 죄.  이미 이것만으로도 탄핵 열두번도 넘게 당해야 한다. 이걸 물고빠는 대깨문들은?,1
1898,kjle****,어찌해서 개구멍으로 들어가냐 떳떳하면 평소와 같이 한손에 텀블러 잔 들고 껀들 껀들 들어가면서 한마디 해야되는거 아녀,1
3043,gree****,이런검사가 장관감이지~ 모두가 눈치만보는데 자기소신을 말하는 ~지지합니다,1
161,iwil****,가짜뉴스의 진원지 청와대,1
75,calv****,적어도 최순실은 조국처럼 정의로운척은 안햇다,1
